final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,initial_distance,initial_achieved,initial_desired,episode,policy,env_id,model_path
0.0023221604407044176,0.0018662070948541035,0.411680688292201,-0.27506428991828197,0.08887286484241486,50,0.845014214515686,True,0.13661639837391912,[1.3418334  0.74910102 0.53473344],[1.42402052 0.73076455 0.64231175],0,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.026916532312905993,0.026916532312905993,1.8121932167028216,-1.608345187792349,0.7313535809516907,50,0.7594101428985596,False,0.20384802891047266,[1.3418334  0.74910102 0.53473344],[1.38752348 0.61223362 0.39074125],1,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.002420185800536423,0.002420185800536423,0.43143122907024983,-0.2940046558657468,0.09035205841064453,50,0.9012274742126465,True,0.13742657320450302,[1.3418334  0.74910102 0.53473344],[1.22860335 0.67653494 0.50646359],2,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.0026537038805859088,0.0022112520937270868,0.2817540010659752,-0.19922969926985654,0.05733171105384827,50,0.9108902812004089,True,0.08252430179611872,[1.3418334  0.74910102 0.53473344],[1.3637729  0.75764836 0.61382745],3,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.004089804241251477,0.004016299740337922,0.6642992575897249,-0.47575720679559547,0.11996990442276001,50,1.0349990129470825,True,0.18854205079412953,[1.3418334  0.74910102 0.53473344],[1.46351498 0.62226906 0.4665033 ],4,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.0047786168281319236,0.002920353074754304,0.41669355987181067,-0.31104021871790644,0.07023098319768906,50,0.862673282623291,True,0.10565334115390425,[1.3418334  0.74910102 0.53473344],[1.4143743  0.82520167 0.52428654],5,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.002338472953811843,0.002219897264982016,0.17183875019256087,-0.12736784495899464,0.031851306557655334,50,0.9409832954406738,True,0.04447090523356623,[1.3418334  0.74910102 0.53473344],[1.30814366 0.77783307 0.53887254],6,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.003014791686920699,0.003014791686920699,0.23042764389015533,-0.17105061502232485,0.03994892165064812,50,1.027640700340271,True,0.059377028867830466,[1.3418334  0.74910102 0.53473344],[1.30068996 0.7770662  0.50231744],7,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.004308692306540569,0.002664582823320721,0.4801586499540172,-0.3472609834643122,0.08795809745788574,50,1.0426653623580933,True,0.13289766648970486,[1.3418334  0.74910102 0.53473344],[1.42806051 0.84920182 0.54910371],8,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
0.0037378188916727196,0.0031262873809588367,0.5766870855890848,-0.41429223305048,0.10849117487668991,50,0.9145166277885437,True,0.16239485253860492,[1.3418334  0.74910102 0.53473344],[1.47456606 0.69124253 0.46120436],9,sac,FetchReachDense-v4,models/sac/auto_0.01_-0.5_150000_20260702-111253/best_model.zip
