final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,mean_residual_action_norm,mean_baseline_action_norm,mean_final_action_norm,initial_distance,initial_achieved,initial_desired,episode,policy,env_id,kp,residual_alpha,model_path
0.0018077929247099463,0.0012948843505442243,0.8523516067309806,271.4485562475102,0.08725059777498245,50,0.20654255151748657,True,0.03616749495267868,0.08505439013242722,0.08725059777498245,0.13661639837391912,[1.3418334  0.74910102 0.53473344],[1.42402052 0.73076455 0.64231175],0,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.028624783306468154,0.02835382001793731,2.2274881174776295,167.39305607314702,0.21632644534111023,50,0.30598852038383484,False,0.09450940787792206,0.21988634765148163,0.21632644534111023,0.20384802891047266,[1.3418334  0.74910102 0.53473344],[1.38752348 0.61223362 0.39074125],1,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.002973610433950022,0.002973610433950022,0.9571608768165798,244.801551782503,0.0834304615855217,50,0.20342665910720825,True,0.051765259355306625,0.09541872888803482,0.0834304615855217,0.13742657320450302,[1.3418334  0.74910102 0.53473344],[1.22860335 0.67653494 0.50646359],2,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0009797383668783777,0.0009209588393148903,0.5170439207790569,295.5420228428923,0.05358898267149925,50,0.1253557652235031,True,0.02169174514710903,0.05160641297698021,0.05358898267149925,0.08252430179611872,[1.3418334  0.74910102 0.53473344],[1.3637729  0.75764836 0.61382745],3,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.008903293308755647,0.003792380608491789,1.2753472938023376,222.04766083400156,0.12091308832168579,50,0.28756311535835266,False,0.14417628943920135,0.12664441764354706,0.12091308832168579,0.18854205079412953,[1.3418334  0.74910102 0.53473344],[1.46351498 0.62226906 0.4665033 ],4,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0013996720453213851,0.000698943524224745,0.6439959147125027,288.4656448987031,0.0666017159819603,50,0.16101306676864624,True,0.027887951582670212,0.06425962597131729,0.0666017159819603,0.10565334115390425,[1.3418334  0.74910102 0.53473344],[1.4143743  0.82520167 0.52428654],5,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0025130714665753326,0.0023720844345140545,0.3425256620016158,278.0639273959703,0.0295780710875988,50,0.06575696915388107,True,0.0412093922495842,0.03400126099586487,0.0295780710875988,0.04447090523356623,[1.3418334  0.74910102 0.53473344],[1.30814366 0.77783307 0.53887254],6,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0027494676122531377,0.002735855652798287,0.4471990462348712,268.21212130934606,0.03717954084277153,50,0.08775985240936279,True,0.047155264765024185,0.04444495588541031,0.03717954084277153,0.059377028867830466,[1.3418334  0.74910102 0.53473344],[1.30068996 0.7770662  0.50231744],7,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.002348902499218718,0.0018656361022277939,0.837827027943293,263.7784705206754,0.08367445319890976,50,0.2014586180448532,True,0.03891029208898544,0.08354782313108444,0.08367445319890976,0.13289766648970486,[1.3418334  0.74910102 0.53473344],[1.42806051 0.84920182 0.54910371],8,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.004934083679106477,0.003949913347270084,1.0709344481988665,237.78951578243436,0.10223203897476196,50,0.24725742638111115,True,0.08453556150197983,0.10660003870725632,0.10223203897476196,0.16239485253860492,[1.3418334  0.74910102 0.53473344],[1.47456606 0.69124253 0.46120436],9,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0012943266604150407,0.0005109495676741291,0.26464394337294994,311.93436810632824,0.02850649319589138,50,0.06470206379890442,True,0.026112452149391174,0.026334965601563454,0.02850649319589138,0.04166939560493595,[1.3418334  0.74910102 0.53473344],[1.37656259 0.77136891 0.54059545],10,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0059325613417290325,0.005621503495274244,1.1654874367723465,227.76897105275032,0.10495297610759735,50,0.2526293098926544,False,0.10283876210451126,0.11595547944307327,0.10495297610759735,0.1684913208283174,[1.3418334  0.74910102 0.53473344],[1.1951718  0.81477422 0.48407053],11,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.011068958233715684,0.011068958233715684,1.2967505995928508,205.1898047344301,0.11737710982561111,50,0.224647656083107,False,0.05445435643196106,0.1285681575536728,0.11737710982561111,0.15121654031134146,[1.3418334  0.74910102 0.53473344],[1.25856916 0.75467501 0.40862857],12,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0030988252830697043,0.0030941799919940297,1.124333962019255,243.12485798409762,0.10435661673545837,50,0.262734591960907,True,0.054037436842918396,0.1121235117316246,0.10435661673545837,0.17157597168928332,[1.3418334  0.74910102 0.53473344],[1.44150936 0.8602947  0.45024094],13,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0043368241810458905,0.002497963586083431,1.3452263143947587,239.75287741642467,0.1358260065317154,50,0.3285989761352539,True,0.07801952213048935,0.13408894836902618,0.1358260065317154,0.21543312437550508,[1.3418334  0.74910102 0.53473344],[1.40967152 0.60417187 0.67897269],14,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0012938301815750355,0.0009012720148853761,0.7212841269643624,284.60788140132075,0.0747605413198471,50,0.17683708667755127,True,0.028726540505886078,0.07199902832508087,0.0747605413198471,0.11671498522421372,[1.3418334  0.74910102 0.53473344],[1.39708371 0.73959461 0.63710248],15,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0049958857306529455,0.003800126677695056,0.9842526615047985,239.7779920921025,0.0929432362318039,50,0.22793087363243103,True,0.09001284837722778,0.09792568534612656,0.0929432362318039,0.14902287370995365,[1.3418334  0.74910102 0.53473344],[1.28453724 0.8630511  0.45765981],16,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.0034356455425784607,0.0033671146551285886,1.011302377226262,244.8016795672645,0.09275130182504654,50,0.23494532704353333,True,0.06372220069169998,0.10078666359186172,0.09275130182504654,0.15319213957252487,[1.3418334  0.74910102 0.53473344],[1.36815785 0.84692087 0.41981551],17,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
0.01855637820300608,0.018524882713822653,1.846794270316827,183.42070805447815,0.17418834567070007,50,0.3006191551685333,False,0.07772812247276306,0.1828237920999527,0.17418834567070007,0.20185854013249363,[1.3418334  0.74910102 0.53473344],[1.28911885 0.60724494 0.40114864],18,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-154028/best_model.zip
