final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,initial_distance,initial_achieved,initial_desired,episode,policy,env_id,model_path
0.0015191617994378239,0.0010518961082467374,0.3619885535595337,-0.22537215518561446,0.09031070023775101,50,1.1109317541122437,True,0.13661639837391912,[1.3418334  0.74910102 0.53473344],[1.42402052 0.73076455 0.64231175],0,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.026937558453596525,0.026521911445393925,1.7964421528042258,-1.592594123893753,0.8054263591766357,50,1.2299319505691528,False,0.20384802891047266,[1.3418334  0.74910102 0.53473344],[1.38752348 0.61223362 0.39074125],1,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.0023959390597545253,0.002395170488588387,0.4152799665471338,-0.27785339334263076,0.09436968713998795,50,1.2948225736618042,True,0.13742657320450302,[1.3418334  0.74910102 0.53473344],[1.22860335 0.67653494 0.50646359],2,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.0012214768206850902,0.0005986562700490762,0.2052971237669324,-0.12277282197081368,0.059033337980508804,50,1.0982701778411865,True,0.08252430179611872,[1.3418334  0.74910102 0.53473344],[1.3637729  0.75764836 0.61382745],3,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.0016798964520358733,0.0014059297450956766,0.533846418139399,-0.3453043673452696,0.1256544440984726,50,1.3364498615264893,True,0.18854205079412953,[1.3418334  0.74910102 0.53473344],[1.46351498 0.62226906 0.4665033 ],4,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.00029008154173899283,0.00028916216253237366,0.2063557817210553,-0.10070244056715102,0.06900037080049515,50,1.0371354818344116,True,0.10565334115390425,[1.3418334  0.74910102 0.53473344],[1.4143743  0.82520167 0.52428654],5,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.0012246911412005788,0.0011021119974478,0.11540138415991875,-0.07093047892635253,0.033690452575683594,50,1.1920236349105835,True,0.04447090523356623,[1.3418334  0.74910102 0.53473344],[1.30814366 0.77783307 0.53887254],6,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.001351419050432493,0.001318281928274353,0.14358903292350353,-0.0842120040556731,0.04036414250731468,50,1.2427146434783936,True,0.059377028867830466,[1.3418334  0.74910102 0.53473344],[1.30068996 0.7770662  0.50231744],7,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.000992373675910619,0.0007941449000015983,0.319449102765864,-0.18655143627615908,0.08804171532392502,50,1.2205137014389038,True,0.13289766648970486,[1.3418334  0.74910102 0.53473344],[1.42806051 0.84920182 0.54910371],8,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.001954774721533503,0.0011972441339430586,0.47984195149564984,-0.31744709895704487,0.11340831965208054,50,1.4219913482666016,True,0.16239485253860492,[1.3418334  0.74910102 0.53473344],[1.47456606 0.69124253 0.46120436],9,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.001023577485826156,0.00038904108138592173,0.099194694929842,-0.05752529932490603,0.03274592384696007,50,1.219916820526123,True,0.04166939560493595,[1.3418334  0.74910102 0.53473344],[1.37656259 0.77136891 0.54059545],10,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.001387217118469201,0.001385704643407985,0.5111794683960654,-0.342688147567748,0.1193968802690506,50,1.4168630838394165,True,0.1684913208283174,[1.3418334  0.74910102 0.53473344],[1.1951718  0.81477422 0.48407053],11,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.010102984509690367,0.007439222697760868,0.8283751246734116,-0.6771585843620701,0.45330172777175903,50,1.5397050380706787,False,0.15121654031134146,[1.3418334  0.74910102 0.53473344],[1.25856916 0.75467501 0.40862857],12,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.002392875278533118,0.001725470754402812,0.4894593538303079,-0.3178833821410245,0.11104239523410797,50,1.1468398571014404,True,0.17157597168928332,[1.3418334  0.74910102 0.53473344],[1.44150936 0.8602947  0.45024094],13,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.0013849476114905297,0.00022357992040988528,0.6465051009300271,-0.4310719765545222,0.13988888263702393,50,1.142900824546814,True,0.21543312437550508,[1.3418334  0.74910102 0.53473344],[1.40967152 0.60417187 0.67897269],14,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.0015398954488529864,0.0007350851711203454,0.31283434720477776,-0.19611936198056407,0.07801227271556854,50,0.9584901332855225,True,0.11671498522421372,[1.3418334  0.74910102 0.53473344],[1.39708371 0.73959461 0.63710248],15,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.001355300983066782,0.0013546507685172299,0.38652140591495576,-0.23749853220500203,0.10187482833862305,50,1.385460376739502,True,0.14902287370995365,[1.3418334  0.74910102 0.53473344],[1.28453724 0.8630511  0.45765981],16,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.0017389351776248478,0.0010993580926524705,0.42485040760989357,-0.27165826803736876,0.2116553634405136,50,0.952293336391449,True,0.15319213957252487,[1.3418334  0.74910102 0.53473344],[1.36815785 0.84692087 0.41981551],17,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.01713739853071939,0.01662471249536077,1.3289203541369858,-1.1270618140044921,0.658967912197113,50,1.3134925365447998,False,0.20185854013249363,[1.3418334  0.74910102 0.53473344],[1.28911885 0.60724494 0.40114864],18,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.0004838121269691728,0.00047651369883205925,0.20533373174051192,-0.10183620844728176,0.07211367785930634,50,1.2543278932571411,True,0.10349752329323018,[1.3418334  0.74910102 0.53473344],[1.30414599 0.83068171 0.58607531],19,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
0.00151665873827997,0.000691966298224522,0.282095958180946,-0.16508374324962138,0.08105166256427765,50,1.384836196899414,True,0.11701221493132463,[1.3418334  0.74910102 0.53473344],[1.37462975 0.82343301 0.61894159],20,sac,FetchReachDense-v4,models/sac/auto_auto_150000_20260702-115209/best_model.zip
