final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,mean_residual_action_norm,mean_baseline_action_norm,mean_final_action_norm,initial_distance,initial_achieved,initial_desired,episode,policy,env_id,kp,residual_alpha,model_path
0.0029017493360840923,0.0027286181778617335,0.5260272704706338,-0.38941087209671477,0.08671257644891739,50,0.4727659523487091,True,0.18479353189468384,0.05231254920363426,0.08671257644891739,0.13661639837391912,[1.3418334  0.74910102 0.53473344],[1.42402052 0.73076455 0.64231175],0,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.027835585448401912,0.027794017498534183,1.914936929608796,-1.7110889006983234,0.3889356255531311,50,0.4991428852081299,False,0.672659695148468,0.18871013820171356,0.3889356255531311,0.20384802891047266,[1.3418334  0.74910102 0.53473344],[1.38752348 0.61223362 0.39074125],1,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.002194507846110906,0.0012647794173603708,0.4955933630840895,-0.3581667898795865,0.08982177823781967,50,0.46042758226394653,True,0.1776362955570221,0.049339886754751205,0.08982177823781967,0.13742657320450302,[1.3418334  0.74910102 0.53473344],[1.22860335 0.67653494 0.50646359],2,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.0025567422490479423,0.002449284344300885,0.33432754405372433,-0.25180324225760564,0.05450175330042839,50,0.3777294456958771,True,0.13102859258651733,0.033177077770233154,0.05450175330042839,0.08252430179611872,[1.3418334  0.74910102 0.53473344],[1.3637729  0.75764836 0.61382745],3,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.0020188731113100636,0.002018870872766801,0.6779247040770373,-0.48938265328290775,0.12124473601579666,50,0.5581456422805786,True,0.2277604341506958,0.06759058684110641,0.12124473601579666,0.18854205079412953,[1.3418334  0.74910102 0.53473344],[1.46351498 0.62226906 0.4665033 ],4,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.0020628079054870827,0.0020622239277817023,0.37362106679077706,-0.2679677256368728,0.06749630719423294,50,0.4295727610588074,True,0.14423319697380066,0.03715582191944122,0.06749630719423294,0.10565334115390425,[1.3418334  0.74910102 0.53473344],[1.4143743  0.82520167 0.52428654],5,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.0019919792862845512,0.001199181531303409,0.17473514102940582,-0.13026423579583957,0.031830575317144394,50,0.36547088623046875,True,0.09008508920669556,0.017274318262934685,0.031830575317144394,0.04447090523356623,[1.3418334  0.74910102 0.53473344],[1.30814366 0.77783307 0.53887254],6,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.0017138329156902367,0.000857689390334897,0.1975787890394942,-0.13820176017166375,0.04038507118821144,50,0.37694236636161804,True,0.09970978647470474,0.01958649419248104,0.04038507118821144,0.059377028867830466,[1.3418334  0.74910102 0.53473344],[1.30068996 0.7770662  0.50231744],7,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.00225131502663847,0.0022509814507852962,0.48143933938020567,-0.3485416728905008,0.08427717536687851,50,0.4641944169998169,True,0.1718846708536148,0.04791880026459694,0.08427717536687851,0.13289766648970486,[1.3418334  0.74910102 0.53473344],[1.42806051 0.84920182 0.54910371],8,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
0.002159681131014617,0.002159681131014617,0.5993119233400581,-0.4369170708014532,0.1047326847910881,50,0.5169160962104797,True,0.2052210569381714,0.05971522256731987,0.1047326847910881,0.16239485253860492,[1.3418334  0.74910102 0.53473344],[1.47456606 0.69124253 0.46120436],9,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_0.01_-0.5_200000_20260702-143037/best_model.zip
