final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,episode,policy,env_id
0.17916657150045,0.1268467757432197,8.685067132966175,-8.685067132966175,0.9633637070655823,50,10.218854904174805,False,0,random,FetchReachDense-v4
0.3390822087124073,0.17800539358008188,14.901658039839544,-14.901658039839544,0.9498292803764343,50,9.565157890319824,False,1,random,FetchReachDense-v4
0.24512952189266296,0.1396416802350867,11.930985543200338,-11.930985543200338,0.9319087266921997,50,9.697802543640137,False,2,random,FetchReachDense-v4
0.2246034840838596,0.05860236265903484,9.137698308729629,-9.137698308729629,0.973141610622406,50,10.006162643432617,False,3,random,FetchReachDense-v4
0.25038348525569687,0.052811237151891864,7.238978641195475,-7.238978641195475,0.9667632579803467,50,9.68166446685791,False,4,random,FetchReachDense-v4
0.08034730239030285,0.04840176806468662,4.863310516175366,-4.863310516175366,1.0264943838119507,50,10.781988143920898,False,5,random,FetchReachDense-v4
0.22214263690472594,0.042248907740608146,10.039407603785353,-10.039407603785353,0.8830339908599854,50,9.24641227722168,False,6,random,FetchReachDense-v4
0.2231315344777783,0.07522492568821304,7.876281509104302,-7.876281509104302,0.9297980666160583,50,9.224161148071289,False,7,random,FetchReachDense-v4
0.26293626116071,0.03223476286878572,9.66318010516262,-9.66318010516262,1.0130784511566162,50,10.68172836303711,False,8,random,FetchReachDense-v4
0.4717173414370452,0.13677591995049632,15.036236333081815,-15.036236333081815,1.022128701210022,50,9.195856094360352,False,9,random,FetchReachDense-v4
0.17507557895385123,0.052766967270926855,5.812013435885755,-5.812013435885755,0.9791941046714783,50,10.183429718017578,False,10,random,FetchReachDense-v4
0.40550830652493514,0.13365708961893127,11.55263244843147,-11.55263244843147,0.9412258267402649,50,8.651535034179688,False,11,random,FetchReachDense-v4
0.16032686739104615,0.1057463687864553,7.734065506758752,-7.734065506758751,0.9604270458221436,50,9.331640243530273,False,12,random,FetchReachDense-v4
0.22708085587986554,0.16300901512345045,10.815474751873525,-10.815474751873525,0.9871962070465088,50,9.805683135986328,False,13,random,FetchReachDense-v4
0.1316011428927118,0.13032606925965456,11.557682334803847,-11.557682334803847,0.9859917163848877,50,10.257521629333496,False,14,random,FetchReachDense-v4
0.2655716409868734,0.14285967609792993,13.97932244395076,-13.97932244395076,0.9823715686798096,50,9.457856178283691,False,15,random,FetchReachDense-v4
0.05397825859827408,0.05397825859827408,7.397143531475136,-7.397143531475136,1.0013611316680908,50,9.960349082946777,False,16,random,FetchReachDense-v4
0.24453142512876386,0.0901976894936165,7.52136786487339,-7.521367864873391,0.9954215288162231,50,10.801904678344727,False,17,random,FetchReachDense-v4
0.24641891671585797,0.19269688716491704,14.568265705289788,-14.568265705289788,0.9279794096946716,50,10.029414176940918,False,18,random,FetchReachDense-v4
