final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,mean_residual_action_norm,mean_baseline_action_norm,mean_final_action_norm,episode,policy,env_id,kp,residual_alpha,model_path
0.0038045298205334897,0.002307499930752238,0.43037102705838004,-0.43037102705838004,0.08916281908750534,50,0.4148998558521271,True,0.21369808912277222,0.056318286806344986,0.08916281908750534,0,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.028935151218797375,0.028935151218797375,1.7564648523464317,-1.7564648523464317,0.46253350377082825,50,0.4554618299007416,False,0.9411379098892212,0.1931377649307251,0.46253350377082825,1,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.004818526862691695,0.004816822027803195,0.48995764242673173,-0.48995764242673173,0.08868826180696487,50,0.5027843713760376,True,0.2123686820268631,0.062256570905447006,0.08868826180696487,2,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.004144812689151908,0.002666553959116941,0.3179485766372451,-0.3179485766372451,0.05728786438703537,50,0.38272222876548767,True,0.17753322422504425,0.03963280841708183,0.05728786438703537,3,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.006651521067349688,0.006650372168562898,0.6927553492310556,-0.6927553492310556,0.12063281238079071,50,0.5377286076545715,False,0.2826855480670929,0.0874645933508873,0.12063281238079071,4,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.003388370812539908,0.002553965685047883,0.3198213229693164,-0.3198213229693164,0.07024306803941727,50,0.41877734661102295,True,0.1718662679195404,0.04220862686634064,0.07024306803941727,5,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0027459509605848994,0.0027447503341930806,0.17816868452395673,-0.17816868452395673,0.030842645093798637,50,0.30345258116722107,True,0.09882006049156189,0.0219893641769886,0.030842645093798637,6,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0034371459982806773,0.0034349252954436593,0.22865089854155582,-0.22865089854155582,0.04047524556517601,50,0.3804602324962616,True,0.12440177798271179,0.028459079563617706,0.04047524556517601,7,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0025387226872151726,0.0016383989479468693,0.35492298878219936,-0.35492298878219936,0.08656642585992813,50,0.4505822956562042,True,0.18173614144325256,0.048528190702199936,0.08656642585992813,8,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.004518243017649489,0.004359820106128666,0.5422175020759655,-0.5422175020759655,0.10594449937343597,50,0.4982338845729828,True,0.23396554589271545,0.07000941038131714,0.10594449937343597,9,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.002716639558483733,0.00269495991857963,0.1666532581411008,-0.1666532581411008,0.03225448727607727,50,0.3484077751636505,True,0.10666030645370483,0.020560603588819504,0.03225448727607727,10,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0028760127762949427,0.002873829804048113,0.5134496362042216,-0.5134496362042216,0.10809578746557236,50,0.5021902918815613,True,0.20392587780952454,0.06790649145841599,0.10809578746557236,11,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.011625980558632886,0.011625980558632886,0.84547682731563,-0.84547682731563,0.2737318277359009,50,0.42306166887283325,False,0.6159723401069641,0.09850672632455826,0.2737318277359009,12,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.004490717490436421,0.0023481507763723278,0.5222505144377139,-0.5222505144377139,0.1112477108836174,50,0.5277594327926636,True,0.25337526202201843,0.06893357634544373,0.1112477108836174,13,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.003649935285299796,0.003355141678882565,0.6556204007186118,-0.6556204007186118,0.13535217940807343,50,0.5548626780509949,True,0.25902992486953735,0.08674035966396332,0.13535217940807343,14,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.004311066432117907,0.002726303750818339,0.4052380607858323,-0.40523806078583235,0.07775294780731201,50,0.39134374260902405,True,0.20775634050369263,0.05176420137286186,0.07775294780731201,15,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0030636086128028686,0.003061326875724123,0.42951092101981275,-0.42951092101981275,0.09435482323169708,50,0.48244616389274597,True,0.19350537657737732,0.05754701793193817,0.09435482323169708,16,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.005890273001700238,0.005889661673527987,0.5715203269802539,-0.5715203269802539,0.09757202863693237,50,0.49591201543807983,False,0.2497754693031311,0.0718822181224823,0.09757202863693237,17,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.018726094137058988,0.018726094137058988,1.307344569044672,-1.307344569044672,0.397066205739975,50,0.5225021839141846,False,0.862173855304718,0.14904770255088806,0.397066205739975,18,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0020964701113399655,0.0020766365523821957,0.25499357429921543,-0.25499357429921543,0.06781663000583649,50,0.4325951337814331,True,0.16647468507289886,0.03563946112990379,0.06781663000583649,19,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0027067444015791077,0.0013494720033109385,0.30683873040955534,-0.30683873040955534,0.0773736760020256,50,0.46354326605796814,True,0.1937631219625473,0.04211442172527313,0.0773736760020256,20,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.005245040006274566,0.00524455732610925,0.6310697470468316,-0.6310697470468316,0.11087249964475632,50,0.5085928440093994,False,0.25106990337371826,0.08002196997404099,0.11087249964475632,21,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.01648332962147924,0.01498018379695181,1.1335982416342847,-1.1335982416342845,0.2974708676338196,50,0.47298479080200195,False,0.6093102097511292,0.13034634292125702,0.2974708676338196,22,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0037605186210231904,0.003758474409002401,0.48939993093833084,-0.48939993093833084,0.09125246107578278,50,0.4491403102874756,True,0.19070009887218475,0.06266225129365921,0.09125246107578278,23,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.015294959718385591,0.013095091516489455,1.0554295884902345,-1.0554295884902345,0.2652056813240051,50,0.514120876789093,False,0.5486341714859009,0.12296619266271591,0.2652056813240051,24,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.004481948225895906,0.004480283920014786,0.433209686881861,-0.433209686881861,0.07298930734395981,50,0.44886788725852966,True,0.17536836862564087,0.05436357483267784,0.07298930734395981,25,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0017986560235899389,0.0017223663983315608,0.2950487609837318,-0.2950487609837318,0.07627647370100021,50,0.41408658027648926,True,0.16988416016101837,0.04100900515913963,0.07627647370100021,26,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.005171999168222214,0.00299770681638185,0.44647909231973937,-0.4464790923197394,0.07601986080408096,50,0.40394675731658936,False,0.21660900115966797,0.055370721966028214,0.07601986080408096,27,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0038698228083354678,0.003591206010448854,0.30994084283843665,-0.30994084283843665,0.06159571558237076,50,0.40521734952926636,True,0.16401004791259766,0.03989891707897186,0.06159571558237076,28,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.004017232684560915,0.003999979992738557,0.3623516204406385,-0.3623516204406385,0.0696234479546547,50,0.39511221647262573,True,0.1886702924966812,0.04663655906915665,0.0696234479546547,29,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
0.0070423920423191375,0.0070407372006496055,0.7390671574344515,-0.7390671574344515,0.12513791024684906,50,0.5333153605461121,False,0.2936558425426483,0.09286624193191528,0.12513791024684906,30,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_50000_20260702-124551/best_model.zip
