final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,episode,policy,obs_noise_sigma,action_noise_sigma,action_scale,experiment,level,env_id,best_kp,residual_alpha
0.1009121104314784,0.07361612853206972,9.15681340516947,-9.020197006795549,0.9994716644287109,50,9.798463821411133,False,0,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.44236445388932943,0.17668392967491572,17.780886044073494,-17.577038015163026,0.9762269854545593,50,10.020750045776367,False,1,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.1661033494646061,0.11000921635273504,9.691021067811521,-9.553594494607019,0.9697201251983643,50,10.041550636291504,False,2,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.2347966675453003,0.08252430179611872,9.167805154710582,-9.085280852914462,0.9805859327316284,50,9.896034240722656,False,3,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.1990403552531008,0.1291857061824146,9.292405880331131,-9.103863829537001,1.0057424306869507,50,10.877815246582031,False,4,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.14569749902799897,0.06640742469396922,7.244265804838523,-7.138612463684619,1.0015758275985718,50,9.359609603881836,False,5,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.26442783726035785,0.026546059623592206,8.978010716298245,-8.933539811064678,1.0106706619262695,50,10.579817771911621,False,6,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.30487668480122515,0.056460970204943076,8.705666735515402,-8.646289706647574,0.937589704990387,50,9.337376594543457,False,7,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.25130963076789176,0.08949137461660067,8.747254314088364,-8.61435664759866,0.9901343584060669,50,10.287114143371582,False,8,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.3704096158183883,0.13388850687860016,15.711646049034819,-15.549251196496213,0.982786238193512,50,9.603446006774902,False,9,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.28531840858507956,0.04166939560493595,12.282467073403726,-12.24079767779879,0.9256048798561096,50,9.298317909240723,False,10,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.41956753623631554,0.16665845193238488,15.773896396196704,-15.605405075368386,0.9093649983406067,50,9.302261352539062,False,11,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.26292484419002365,0.15121654031134146,11.94198106775789,-11.790764527446548,0.9976378083229065,50,9.759133338928223,False,12,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.38834527264744306,0.17157597168928332,14.257754900697265,-14.08617892900798,1.0179476737976074,50,10.159876823425293,False,13,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.2671047798114402,0.11131437866431854,9.493574909481701,-9.278141785106197,0.9173206090927124,50,9.459555625915527,False,14,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.18075850969737564,0.08918667890851051,10.342164852392937,-10.225449867168724,0.9690582156181335,50,9.591620445251465,False,15,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.32186329295563487,0.14902287370995365,13.599187739874441,-13.450164866164487,1.0283536911010742,50,10.25903034210205,False,16,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.2112474704344138,0.11361177191766596,9.776897359191539,-9.623705219619014,0.9736373424530029,50,10.128366470336914,False,17,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.15906052698611628,0.07935841818612413,7.457080150420185,-7.255221610287692,1.0135207176208496,50,10.936650276184082,False,18,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.29224344262654883,0.018573024926957143,7.030024669332442,-6.926527146039212,0.9257723093032837,50,9.334720611572266,False,19,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.13261510893236336,0.038160209290828626,5.847653367630247,-5.730641152698924,0.9431970715522766,50,10.420515060424805,False,20,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.201414848147602,0.03440411095711855,7.3626221142523995,-7.188227089572959,0.9761940240859985,50,9.674637794494629,False,21,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
0.1604048920760202,0.07101524796549703,9.121849021906653,-8.935500442851342,0.9656029343605042,50,9.730646133422852,False,22,random,0.0,0.0,1.0,observation_noise,0.0,FetchReachDense-v4,20.0,0.3
