final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,mean_residual_action_norm,mean_baseline_action_norm,mean_final_action_norm,initial_distance,initial_achieved,initial_desired,episode,policy,env_id,kp,residual_alpha,model_path
0.0020451761752601025,0.0020451761752601025,0.6391360466079952,268.9849105805015,0.10596099495887756,50,0.5600516200065613,True,0.22592046856880188,0.0637090876698494,0.10596099495887756,0.13661639837391912,[1.3418334  0.74910102 0.53473344],[1.42402052 0.73076455 0.64231175],0,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.03613120938780653,0.030537964542402533,2.264602286453274,162.92034578327065,0.4131182134151459,50,0.662982165813446,False,0.8759753704071045,0.222847118973732,0.4131182134151459,0.20384802891047266,[1.3418334  0.74910102 0.53473344],[1.38752348 0.61223362 0.39074125],1,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.002293079881113738,0.002293079881113738,0.640580896179388,265.4953411384008,0.11034516245126724,50,0.5669748783111572,True,0.22826118767261505,0.06382878124713898,0.11034516245126724,0.13742657320450302,[1.3418334  0.74910102 0.53473344],[1.22860335 0.67653494 0.50646359],2,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.002732230345538157,0.002732230345538157,0.4343784855636493,270.8196978394456,0.06256943196058273,50,0.457622766494751,True,0.15217623114585876,0.04316462576389313,0.06256943196058273,0.08252430179611872,[1.3418334  0.74910102 0.53473344],[1.3637729  0.75764836 0.61382745],3,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0007982142977255184,0.0007982142977255184,0.6896175450953889,305.8789319702801,0.12173912674188614,50,0.5882859230041504,True,0.2003357857465744,0.06888193637132645,0.12173912674188614,0.18854205079412953,[1.3418334  0.74910102 0.53473344],[1.46351498 0.62226906 0.4665033 ],4,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.00281413117322722,0.00281413117322722,0.644545552310656,257.02134047455905,0.07554853707551956,50,0.38388633728027344,True,0.16605179011821747,0.0641731470823288,0.07554853707551956,0.10565334115390425,[1.3418334  0.74910102 0.53473344],[1.4143743  0.82520167 0.52428654],5,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0013128872197021883,0.0013128872197021883,0.30128707562230056,297.2319855317023,0.029439732432365417,50,0.07119739055633545,True,0.03003210946917534,0.02999741956591606,0.029439732432365417,0.04447090523356623,[1.3418334  0.74910102 0.53473344],[1.30814366 0.77783307 0.53887254],6,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0022817396569625808,0.0022817396569625808,0.4008889683644105,273.9835946536384,0.04756704717874527,50,0.387210488319397,True,0.10923553258180618,0.03986072167754173,0.04756704717874527,0.059377028867830466,[1.3418334  0.74910102 0.53473344],[1.30068996 0.7770662  0.50231744],7,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.003846022489677019,0.003846022489677019,0.7569361729922479,246.32887967427118,0.09472566843032837,50,0.461168110370636,True,0.21775949001312256,0.07530901581048965,0.09472566843032837,0.13289766648970486,[1.3418334  0.74910102 0.53473344],[1.42806051 0.84920182 0.54910371],8,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0009684740729299966,0.0009684740729299966,0.6271973262251925,295.900570795451,0.11078470945358276,50,0.5732869505882263,True,0.19575528800487518,0.06262288242578506,0.11078470945358276,0.16239485253860492,[1.3418334  0.74910102 0.53473344],[1.47456606 0.69124253 0.46120436],9,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.002433971223110777,0.002433971223110777,0.3496769031385162,273.84178266297357,0.035221584141254425,50,0.2784261405467987,True,0.101793073117733,0.034724291414022446,0.035221584141254425,0.04166939560493595,[1.3418334  0.74910102 0.53473344],[1.37656259 0.77136891 0.54059545],10,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0034327284103660765,0.003028047442004473,0.8125505111078933,256.6866469235483,0.12868916988372803,50,0.70997554063797,True,0.2589937746524811,0.08091177046298981,0.12868916988372803,0.1684913208283174,[1.3418334  0.74910102 0.53473344],[1.1951718  0.81477422 0.48407053],11,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.010775378361786584,0.010722724262004086,0.9483681253182888,218.36731464830802,0.14394184947013855,50,0.6100873947143555,False,0.20002976059913635,0.09375926852226257,0.14394184947013855,0.15121654031134146,[1.3418334  0.74910102 0.53473344],[1.25856916 0.75467501 0.40862857],12,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.002150511057274936,0.002150511057274936,0.7015766897142056,271.89006763702895,0.12096473574638367,50,0.5315130949020386,True,0.21793147921562195,0.06994261592626572,0.12096473574638367,0.17157597168928332,[1.3418334  0.74910102 0.53473344],[1.44150936 0.8602947  0.45024094],13,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0004750850121016622,0.0004544562086166587,0.9042715073414644,302.22532689124114,0.14567548036575317,50,0.6773931980133057,True,0.21739521622657776,0.09037964791059494,0.14567548036575317,0.21543312437550508,[1.3418334  0.74910102 0.53473344],[1.40967152 0.60417187 0.67897269],14,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0022413832472012326,0.0022413832472012326,0.5479350203774279,272.08116854302216,0.08993125706911087,50,0.5519716739654541,True,0.1989096701145172,0.05456935986876488,0.08993125706911087,0.11671498522421372,[1.3418334  0.74910102 0.53473344],[1.39708371 0.73959461 0.63710248],15,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.004326878567214995,0.004326515486029862,0.734486034005624,249.8951987734614,0.09543349593877792,50,0.5328760147094727,True,0.19133995473384857,0.07301591336727142,0.09543349593877792,0.14902287370995365,[1.3418334  0.74910102 0.53473344],[1.28453724 0.8630511  0.45765981],16,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0019365682270520302,0.0019365682270520302,0.6505336993389771,277.1256955773244,0.1054086685180664,50,0.5132906436920166,True,0.1961391270160675,0.06485971808433533,0.1054086685180664,0.15319213957252487,[1.3418334  0.74910102 0.53473344],[1.36815785 0.84692087 0.41981551],17,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.01889568098396824,0.01889568098396824,1.5915648869308254,186.65320000884265,0.20763637125492096,50,0.5021967887878418,False,0.33226367831230164,0.15726691484451294,0.20763637125492096,0.20185854013249363,[1.3418334  0.74910102 0.53473344],[1.28911885 0.60724494 0.40114864],18,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0012062573753461342,0.0012062573753461342,0.4437718585947842,296.0896961267083,0.07776343077421188,50,0.3764687478542328,True,0.15348529815673828,0.04425656422972679,0.07776343077421188,0.10349752329323018,[1.3418334  0.74910102 0.53473344],[1.30414599 0.83068171 0.58607531],19,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
0.0024263540098020554,0.0024263540098020554,0.5438996175501125,269.8232207928508,0.08707686513662338,50,0.45575007796287537,True,0.19266940653324127,0.054147329181432724,0.08707686513662338,0.11701221493132463,[1.3418334  0.74910102 0.53473344],[1.37462975 0.82343301 0.61894159],20,sac,FetchReachDense-v4,5.0,0.3,models/residual_sac/0.3_auto_auto_200000_20260702-171707/best_model.zip
