final_distance,min_distance,total_distance,total_return,mean_action_norm,num_steps,action_smoothness,success,initial_distance,initial_achieved,initial_desired,episode,policy,kp,env_id
0.027472778781073626,0.027472778781073626,3.4618351173164252,-3.3252187189425064,0.06868724524974823,50,0.017025282606482506,False,0.13661639837391912,[1.3418334  0.74910102 0.53473344],[1.42402052 0.73076455 0.64231175],0,proportional,1.0,FetchReachDense-v4
0.04053630064456079,0.04053630064456079,5.020857096318456,-4.817009067407983,0.09960640966892242,50,0.02605344168841839,False,0.20384802891047266,[1.3418334  0.74910102 0.53473344],[1.38752348 0.61223362 0.39074125],1,proportional,1.0,FetchReachDense-v4
0.025630083313636268,0.025630083313636268,3.4199762787850716,-3.2825497055805686,0.06788692623376846,50,0.01743575558066368,False,0.13742657320450302,[1.3418334  0.74910102 0.53473344],[1.22860335 0.67653494 0.50646359],2,proportional,1.0,FetchReachDense-v4
0.017540054877272906,0.017540054877272906,2.1147343791847657,-2.0322100773886467,0.04194388538599014,50,0.010163508355617523,False,0.08252430179611872,[1.3418334  0.74910102 0.53473344],[1.3637729  0.75764836 0.61382745],3,proportional,1.0,FetchReachDense-v4
0.034862900283623634,0.034862900283623634,4.673995260960544,-4.4854532101664155,0.0927826464176178,50,0.02400635927915573,False,0.18854205079412953,[1.3418334  0.74910102 0.53473344],[1.46351498 0.62226906 0.4665033 ],4,proportional,1.0,FetchReachDense-v4
0.019745765163484703,0.019745765163484703,2.625958191838524,-2.5203048506846195,0.05212424695491791,50,0.013429680839180946,False,0.10565334115390425,[1.3418334  0.74910102 0.53473344],[1.4143743  0.82520167 0.52428654],5,proportional,1.0,FetchReachDense-v4
0.009120276770502044,0.009120276770502044,1.1244518589140093,-1.0799809536804432,0.02230663038790226,50,0.005583046469837427,False,0.04447090523356623,[1.3418334  0.74910102 0.53473344],[1.30814366 0.77783307 0.53887254],6,proportional,1.0,FetchReachDense-v4
0.010301574237438518,0.010301574237438518,1.4511031664471137,-1.391726137579283,0.02881603315472603,50,0.0076814680360257626,False,0.059377028867830466,[1.3418334  0.74910102 0.53473344],[1.30068996 0.7770662  0.50231744],7,proportional,1.0,FetchReachDense-v4
0.02533477992004248,0.02533477992004248,3.3199897606238613,-3.1870920941341563,0.06589309871196747,50,0.01680256798863411,False,0.13289766648970486,[1.3418334  0.74910102 0.53473344],[1.42806051 0.84920182 0.54910371],8,proportional,1.0,FetchReachDense-v4
0.029990110547418247,0.029990110547418247,4.026403938362706,-3.864009085824101,0.07992827147245407,50,0.020679155364632607,False,0.16239485253860492,[1.3418334  0.74910102 0.53473344],[1.47456606 0.69124253 0.46120436],9,proportional,1.0,FetchReachDense-v4
0.008783985534648603,0.008783985534648603,1.0572378629042054,-1.0155684672992695,0.020969076082110405,50,0.005241574719548225,False,0.04166939560493595,[1.3418334  0.74910102 0.53473344],[1.37656259 0.77136891 0.54059545],10,proportional,1.0,FetchReachDense-v4
0.031324566236124084,0.031324566236124084,4.191492137058035,-4.023000816229717,0.08320334553718567,50,0.021381618455052376,False,0.1684913208283174,[1.3418334  0.74910102 0.53473344],[1.1951718  0.81477422 0.48407053],11,proportional,1.0,FetchReachDense-v4
0.02675783773602694,0.02675783773602694,3.7153125030577816,-3.5640959627464404,0.07377108931541443,50,0.01941387914121151,False,0.15121654031134146,[1.3418334  0.74910102 0.53473344],[1.25856916 0.75467501 0.40862857],12,proportional,1.0,FetchReachDense-v4
0.031182255448397277,0.031182255448397277,4.236282577349975,-4.0647066056606915,0.08410201221704483,50,0.021929051727056503,False,0.17157597168928332,[1.3418334  0.74910102 0.53473344],[1.44150936 0.8602947  0.45024094],13,proportional,1.0,FetchReachDense-v4
0.04175844620330208,0.04175844620330208,5.403124413727961,-5.187691289352457,0.10722730308771133,50,0.027117662131786346,False,0.21543312437550508,[1.3418334  0.74910102 0.53473344],[1.40967152 0.60417187 0.67897269],14,proportional,1.0,FetchReachDense-v4
0.02375515176389594,0.02375515176389594,2.96465983992992,-2.8479448547057062,0.05881809815764427,50,0.014508056454360485,False,0.11671498522421372,[1.3418334  0.74910102 0.53473344],[1.39708371 0.73959461 0.63710248],15,proportional,1.0,FetchReachDense-v4
0.026797164937137675,0.026797164937137675,3.6707163400548133,-3.521693466344859,0.0728783831000328,50,0.019086742773652077,False,0.14902287370995365,[1.3418334  0.74910102 0.53473344],[1.28453724 0.8630511  0.45765981],16,proportional,1.0,FetchReachDense-v4
0.026834814208760754,0.026834814208760754,3.7496923571340646,-3.5965002175615397,0.07445714622735977,50,0.019733168184757233,False,0.15319213957252487,[1.3418334  0.74910102 0.53473344],[1.36815785 0.84692087 0.41981551],17,proportional,1.0,FetchReachDense-v4
0.03621778565612881,0.03621778565612881,4.969324575315326,-4.767466035182833,0.0986621305346489,50,0.025861814618110657,False,0.20185854013249363,[1.3418334  0.74910102 0.53473344],[1.28911885 0.60724494 0.40114864],18,proportional,1.0,FetchReachDense-v4
0.020364698995360368,0.020364698995360368,2.6026568820394815,-2.4991593587462515,0.05164584517478943,50,0.012997801415622234,False,0.10349752329323018,[1.3418334  0.74910102 0.53473344],[1.30414599 0.83068171 0.58607531],19,proportional,1.0,FetchReachDense-v4
0.02335911839359368,0.02335911839359368,2.954860839746172,-2.8378486248148476,0.05863003432750702,50,0.014632091857492924,False,0.11701221493132463,[1.3418334  0.74910102 0.53473344],[1.37462975 0.82343301 0.61894159],20,proportional,1.0,FetchReachDense-v4
0.03128865355373862,0.03128865355373862,4.290615984160595,-4.116220959481155,0.08518654853105545,50,0.022357594221830368,False,0.17439502467944024,[1.3418334  0.74910102 0.53473344],[1.35985751 0.89677868 0.44373859],21,proportional,1.0,FetchReachDense-v4
0.033800391971506714,0.033800391971506714,4.599114696828619,-4.412766117773308,0.09130628407001495,50,0.023826222866773605,False,0.18634857905531155,[1.3418334  0.74910102 0.53473344],[1.47488174 0.75610291 0.40444566],22,proportional,1.0,FetchReachDense-v4
0.026342360926150044,0.026342360926150044,3.513348669233834,-3.3723656230036663,0.06974012404680252,50,0.017863942310214043,False,0.14098304623016733,[1.3418334  0.74910102 0.53473344],[1.20605115 0.75456767 0.49718994],23,proportional,1.0,FetchReachDense-v4
0.03436610518428453,0.03436610518428453,4.676979401263078,-4.487452083754102,0.09285225719213486,50,0.024234609678387642,False,0.18952731750897597,[1.3418334  0.74910102 0.53473344],[1.46895386 0.80694646 0.40661281],24,proportional,1.0,FetchReachDense-v4
0.021532392195443683,0.021532392195443683,2.854978180342566,-2.7400701822349367,0.05666892230510712,50,0.01460192259401083,False,0.11490799810762906,[1.3418334  0.74910102 0.53473344],[1.31613315 0.63718251 0.53892789],25,proportional,1.0,FetchReachDense-v4
0.02268017426636817,0.02268017426636817,2.927844843335574,-2.811004830812308,0.0581032894551754,50,0.014723562635481358,False,0.11684001252326624,[1.3418334  0.74910102 0.53473344],[1.33714372 0.8535989  0.58678906],26,proportional,1.0,FetchReachDense-v4
0.022972805080008773,0.022972805080008773,2.856232302538776,-2.7438322150240344,0.056665193289518356,50,0.013963179662823677,False,0.11240008751474191,[1.3418334  0.74910102 0.53473344],[1.36594541 0.75715663 0.64422087],27,proportional,1.0,FetchReachDense-v4
0.01625456803147203,0.01625456803147203,2.2745333212068526,-2.181615177804662,0.04516557231545448,50,0.011978072114288807,False,0.0929181434021909,[1.3418334  0.74910102 0.53473344],[1.30605415 0.81624278 0.48138917],28,proportional,1.0,FetchReachDense-v4
0.021689947735283193,0.021689947735283193,2.735008145985373,-2.6269769674234826,0.054266367107629776,50,0.013473131693899632,False,0.10803117856188992,[1.3418334  0.74910102 0.53473344],[1.2678578  0.75736267 0.61302834],29,proportional,1.0,FetchReachDense-v4
0.0360207143746666,0.0360207143746666,4.862975928489258,-4.6663384112124415,0.09653909504413605,50,0.025090821087360382,False,0.19663751727681664,[1.3418334  0.74910102 0.53473344],[1.44318472 0.60110356 0.45416685],30,proportional,1.0,FetchReachDense-v4
0.015261595759314277,0.015261595759314277,2.2106678634272168,-2.1195344760895263,0.043908122926950455,50,0.011844152584671974,False,0.09113338733769039,[1.3418334  0.74910102 0.53473344],[1.33962456 0.69011128 0.46530271],31,proportional,1.0,FetchReachDense-v4
0.025861688451600928,0.025861688451600928,3.2822909350983203,-3.1525321676512164,0.06512857973575592,50,0.016206568107008934,False,0.12975876744710355,[1.3418334  0.74910102 0.53473344],[1.46014718 0.75531731 0.58765362],32,proportional,1.0,FetchReachDense-v4
0.027564288899086232,0.027564288899086232,3.5964855121550348,-3.452767795183419,0.0713784247636795,50,0.01813189871609211,False,0.143717716971616,[1.3418334  0.74910102 0.53473344],[1.25582121 0.64503974 0.58400751],33,proportional,1.0,FetchReachDense-v4
0.03467607831149357,0.03467607831149357,4.52119352841783,-4.340484706929645,0.08973035216331482,50,0.02280605025589466,False,0.18070882148818487,[1.3418334  0.74910102 0.53473344],[1.43373315 0.89475801 0.5894523 ],34,proportional,1.0,FetchReachDense-v4
0.0203594704811952,0.0203594704811952,2.848321541734771,-2.7321430789640084,0.0565592423081398,50,0.014955324120819569,False,0.11617846277076242,[1.3418334  0.74910102 0.53473344],[1.42761339 0.76445261 0.45789883],35,proportional,1.0,FetchReachDense-v4
0.023755263728427522,0.023755263728427522,3.1546263145788096,-3.0276130855053847,0.06261741369962692,50,0.01614355854690075,False,0.12701322907342527,[1.3418334  0.74910102 0.53473344],[1.31749263 0.87364161 0.54016733],36,proportional,1.0,FetchReachDense-v4
0.04325867696135903,0.04325867696135903,5.539184543522704,-5.319022761254014,0.1099185198545456,50,0.027629246935248375,False,0.22016178226868954,[1.3418334  0.74910102 0.53473344],[1.46771442 0.6205878  0.66165678],37,proportional,1.0,FetchReachDense-v4
0.03827891991623299,0.03827891991623299,5.235555488630032,-5.0228809464948405,0.1039455309510231,50,0.027248568832874298,False,0.2126745421351912,[1.3418334  0.74910102 0.53473344],[1.4127811  0.60462666 0.39572249],38,proportional,1.0,FetchReachDense-v4
0.02986356891577217,0.02986356891577217,3.8273763132266185,-3.675210656900009,0.0759502574801445,50,0.019098177552223206,False,0.15216565632660986,[1.3418334  0.74910102 0.53473344],[1.32206769 0.66258952 0.65834357],39,proportional,1.0,FetchReachDense-v4
0.037698668188433176,0.037698668188433176,5.016626484551251,-4.814661013240174,0.09957855939865112,50,0.025667954236268997,False,0.20196547131107676,[1.3418334  0.74910102 0.53473344],[1.49112533 0.85553741 0.45003829],40,proportional,1.0,FetchReachDense-v4
0.028880901518233696,0.028880901518233696,3.79785877107995,-3.645550865583025,0.07537955790758133,50,0.01928148977458477,False,0.15230790549692488,[1.3418334  0.74910102 0.53473344],[1.286758   0.61248248 0.57346034],41,proportional,1.0,FetchReachDense-v4
0.030574356383913905,0.030574356383913905,3.954922275163239,-3.797264854004765,0.07848695665597916,50,0.01984555833041668,False,0.15765742115847411,[1.3418334  0.74910102 0.53473344],[1.41146317 0.86916212 0.60951906],42,proportional,1.0,FetchReachDense-v4
0.026007389027765105,0.026007389027765105,3.435380050519778,-3.2979637144541236,0.06818745285272598,50,0.017358312383294106,False,0.1374163360656539,[1.3418334  0.74910102 0.53473344],[1.2051306  0.74063172 0.52360402],43,proportional,1.0,FetchReachDense-v4
0.021076029760373035,0.021076029760373035,2.729206875676591,-2.620176112365937,0.05416262149810791,50,0.013757621869444847,False,0.1090307633106537,[1.3418334  0.74910102 0.53473344],[1.3764724  0.65170729 0.56940779],44,proportional,1.0,FetchReachDense-v4
0.022833975359184654,0.022833975359184654,3.2168153468274463,-3.0851121019013643,0.06387962400913239,50,0.01700078882277012,False,0.13170324492608168,[1.3418334  0.74910102 0.53473344],[1.36306063 0.83416281 0.43644997],45,proportional,1.0,FetchReachDense-v4
0.02367885034877049,0.02367885034877049,3.047405516635215,-2.9262445409443028,0.06047453358769417,50,0.015211605466902256,False,0.12116097569091208,[1.3418334  0.74910102 0.53473344],[1.25370729 0.81005729 0.59128522],46,proportional,1.0,FetchReachDense-v4
0.021686915827037797,0.021686915827037797,2.748772892986493,-2.6397676716213248,0.05454172194004059,50,0.013651253655552864,False,0.10900522136516852,[1.3418334  0.74910102 0.53473344],[1.36456684 0.83008267 0.60406814],47,proportional,1.0,FetchReachDense-v4
0.012999905910457134,0.012999905910457134,1.6747000026608658,-1.6078004500518799,0.03323400393128395,50,0.00845262035727501,False,0.06689955260898593,[1.3418334  0.74910102 0.53473344],[1.30353354 0.80367015 0.54029039],48,proportional,1.0,FetchReachDense-v4
0.03252936950006038,0.03252936950006038,4.230711431823407,-4.061718434167959,0.08396365493535995,50,0.021308675408363342,False,0.16899299765544737,[1.3418334  0.74910102 0.53473344],[1.27675862 0.87217631 0.63052685],49,proportional,1.0,FetchReachDense-v4
0.02504004939630564,0.02504004939630564,3.4090681637447604,-3.2707813832849983,0.06768056750297546,50,0.017700202763080597,False,0.1382867804597629,[1.3418334  0.74910102 0.53473344],[1.37209299 0.62185658 0.48982861],50,proportional,1.0,FetchReachDense-v4
0.028318730915631578,0.028318730915631578,3.6792879937284746,-3.532558124404449,0.07301938533782959,50,0.018487494438886642,False,0.1467298693240254,[1.3418334  0.74910102 0.53473344],[1.48748081 0.76205446 0.52253942],51,proportional,1.0,FetchReachDense-v4
0.02607730438053263,0.02607730438053263,3.370785159228028,-3.2364814233593804,0.06689415127038956,50,0.016895361244678497,False,0.13430373586864797,[1.3418334  0.74910102 0.53473344],[1.26373498 0.83570893 0.60134574],52,proportional,1.0,FetchReachDense-v4
0.02656109271674056,0.02656109271674056,3.6653865323608787,-3.5161288317618933,0.07277651131153107,50,0.019169721752405167,False,0.14925770059898577,[1.3418334  0.74910102 0.53473344],[1.35427065 0.87309326 0.45258054],53,proportional,1.0,FetchReachDense-v4
0.019135506064569426,0.019135506064569426,2.4856862304533696,-2.3863887600176708,0.04933101683855057,50,0.01253542024642229,False,0.09929747043569892,[1.3418334  0.74910102 0.53473344],[1.41058441 0.8192679  0.5492212 ],54,proportional,1.0,FetchReachDense-v4
0.011296110257546786,0.011296110257546786,1.420005489162517,-1.3636144719187613,0.028174186125397682,50,0.007104967720806599,False,0.056391017243755566,[1.3418334  0.74910102 0.53473344],[1.39411572 0.72879439 0.54057697],55,proportional,1.0,FetchReachDense-v4
0.03895577736187043,0.03895577736187043,5.262005617280527,-5.049178746585461,0.10446099191904068,50,0.027163146063685417,False,0.2128268706950665,[1.3418334  0.74910102 0.53473344],[1.47493036 0.8545003  0.40639223],56,proportional,1.0,FetchReachDense-v4
0.005357734831585035,0.005357734831585035,0.530889806971744,-0.5109556955824331,0.010510641150176525,50,0.0024861455895006657,False,0.019934111389310928,[1.3418334  0.74910102 0.53473344],[1.3436429  0.76862851 0.53830716],57,proportional,1.0,FetchReachDense-v4
